"ID"	"Trial"	"distCorr"	"Speed"	"distWalked"	"Blick"	"bedingung"	"geschw"	"TimeVsSpeed_K_VR"	" TimeVsSpeed_L_VR"	"TimeVsSpeed_K_D"	"TimeVsSpeed_L_D"
"10"	40	35	1.75	28.9404697418	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	41	35	3.5	31.6807727814	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	42	35	3.5	34.1299858093	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	43	7	3.5	5.79140472412	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	44	7	3.5	8.55221939087	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	45	35	3.5	33.896774292	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	46	7	1.75	7.9105887413	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	47	7	3.5	11.661772728	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	48	7	3.5	7.26884078979	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	49	7	1.75	8.78508090973	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	50	7	3.5	5.63630914688	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	51	7	1.75	8.41588020325	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	52	35	1.75	32.575088501	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	53	7	1.75	7.13315582275	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	54	7	1.75	9.79589653015	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	55	35	1.75	46.1414756775	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	56	35	1.75	47.9296607971	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	57	7	1.75	13.1387662888	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	58	7	1.75	11.797791481	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	59	7	1.75	12.7500114441	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	60	7	3.5	7.81332778931	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	61	7	3.5	5.16999721527	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	62	35	3.5	33.6245384216	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	63	35	3.5	42.2931442261	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	64	35	3.5	48.0461540222	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	65	35	1.75	47.8519477844	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	66	35	1.75	44.9753036499	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	67	7	3.5	7.69673156738	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	68	35	1.75	31.0784187317	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	69	35	1.75	31.5449047089	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	70	35	3.5	26.8221149445	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	71	35	3.5	37.5907516479	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	72	7	3.5	6.14185380936	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	1	35	3.5	37.3921356201	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	2	35	1.75	26.9216442108	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	3	35	3.5	40.4262046814	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	4	35	1.75	37.4512329102	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	5	7	1.75	6.79623126984	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	6	35	3.5	60.9014282227	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	7	7	1.75	13.3003025055	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	8	35	1.75	40.4846534729	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	9	35	1.75	48.884601593	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	10	7	3.5	8.45847797394	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	11	7	3.5	7.75891447067	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	12	7	3.5	8.75040531158	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	13	35	1.75	41.593006134	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	14	7	1.75	7.00022411346	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	15	35	3.5	37.3921127319	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	16	7	1.75	9.91661739349	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	17	7	3.5	5.0166425705	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	18	7	1.75	5.9208407402	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	19	35	3.5	49.3513565063	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	20	7	1.75	8.57524871826	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	21	7	3.5	8.92542362213	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	22	7	1.75	10.8792285919	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	23	7	1.75	9.42144012451	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	24	7	1.75	8.63351917267	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	25	35	1.75	41.9718589783	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	26	35	1.75	39.2009239197	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	27	35	3.5	29.8089809418	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	28	35	1.75	35.8176307678	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	29	35	1.75	25.1718959808	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	30	7	3.5	7.52488470078	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	31	7	3.5	6.70820665359	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	32	7	3.5	7.00083589554	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	33	35	3.5	51.6847190857	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	34	35	3.5	64.7514648438	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	35	35	3.5	55.3014259338	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	36	7	3.5	13.2427062988	"desktop"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	37	35	3.5	47.3098602295	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	38	35	1.75	35.2927856445	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	39	35	3.5	58.568397522	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	40	35	1.75	52.414024353	"desktop"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	41	7	1.75	5.51259422302	"desktop"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	42	35	3.5	29.5166397095	"desktop"	"lang"	"schnell"	"13"	"7"	"13"	"7"
